0,01-09-2010,12:05 PM,White Sox,Indians
0,01-09-2010,2:05 PM,Cardinals ,Astros
0,01-09-2010,2:20 PM,Pirates,Cubs
0,01-09-2010,3:10 PM,Phillies,Dodgers
0,01-09-2010,6:10 PM,Padres,D-backs
0,01-09-2010,7:05 PM,Red Sox,Orioles
0,01-09-2010,7:05 PM,Athletics,Yankees
0,01-09-2010,7:10 PM,Brewers,Reds
0,01-09-2010,7:10 PM,Mets,Braves
0,01-09-2010,7:10 PM,Blue Jays,Rays
0,01-09-2010,7:10 PM,Nationals,Marlins
0,01-09-2010,8:10 PM,Tigers,Twins
0,01-09-2010,8:10 PM,Rangers,Royals
0,01-09-2010,9:15 PM,Rockies,Giants
0,01-09-2010,10:10 PM,Angels,Mariners
0,02-09-2010,1:05 PM,Athletics,Yankees
0,02-09-2010,7:05 PM,Red Sox,Orioles
0,02-09-2010,7:10 PM,Mets,Braves
0,02-09-2010,7:10 PM,Phillies,Rockies
0,02-09-2010,8:10 PM,Tigers,Twins
0,02-09-2010,10:10 PM,Indians,Mariners
0,03-09-2010,1:05 PM,Blue Jays,Yankees
0,03-09-2010,2:20 PM,Mets,Cubs
0,03-09-2010,7:05 PM,Brewers,Phillies
0,03-09-2010,7:05 PM,Rays,Orioles
0,03-09-2010,7:05 PM,Nationals,Pirates
0,03-09-2010,7:10 PM,Braves,Marlins
0,03-09-2010,7:10 PM,White Sox,Red Sox
0,03-09-2010,8:10 PM,Tigers,Royals
0,03-09-2010,8:10 PM,Rangers,Twins
0,03-09-2010,8:15 PM,Reds,Cardinals
0,03-09-2010,9:40 PM,Astros,D-backs
0,03-09-2010,10:05 PM,Angels,Athletics
0,03-09-2010,10:05 PM,Rockies,Padres
0,03-09-2010,10:10 PM,Indians,Mariners
0,03-09-2010,10:10 PM,Giants,Dodgers
0,04-09-2010,1:05 PM,Mets,Cubs
0,04-09-2010,1:05 PM,Blue Jays,Yankees
0,04-09-2010,4:10 PM,Angels,Athletics
0,04-09-2010,4:10 PM,Reds,Cardinals
0,04-09-2010,4:10 PM,Rangers,Twins
0,04-09-2010,7:05 PM,Brewers,Phillies
0,04-09-2010,7:05 PM,Rays,Orioles
0,04-09-2010,7:05 PM,Nationals,Pirates
0,04-09-2010,7:10 PM,Braves,Marlins
0,04-09-2010,7:10 PM,White Sox,Red Sox
0,04-09-2010,7:10 PM,Tigers,Royals
0,04-09-2010,8:10 PM,Astros,D-backs
0,04-09-2010,8:35 PM,Rockies,Padres
0,04-09-2010,10:10 PM,Giants,Dodgers
0,04-09-2010,10:15 PM,Indians,Mariners
0,05-09-2010,0,Giants,Dodgers
0,05-09-2010,0,Blue Jays,Yankees
0,05-09-2010,12:10 PM,Braves,Marlins
0,05-09-2010,1:35 PM,White Sox,Red Sox
0,05-09-2010,1:35 PM,Brewers,Phillies
0,05-09-2010,1:35 PM,Rays,Orioles
0,05-09-2010,1:35 PM,Nationals,Pirates
0,05-09-2010,2:10 PM,Tigers,Royals
0,05-09-2010,2:10 PM,Rangers,Twins
0,05-09-2010,2:15 PM,Reds,Cardinals
0,05-09-2010,2:20 PM,Mets,Cubs
0,05-09-2010,4:05 PM,Angels,Athletics
0,05-09-2010,4:05 PM,Rockies,Padres
0,05-09-2010,4:10 PM,Indians,Mariners
0,05-09-2010,4:10 PM,Astros,D-backs
0,06-09-2010,1:05 PM,Orioles,Yankees
0,06-09-2010,1:05 PM,White Sox,Tigers
0,06-09-2010,GM 1: 1:05pm,Marlins,Phillies
