Boston College Eagles,http://images.maxpreps.com/site_images/college_logos/boston_college.gif
Clemson Tigers,http://www.stilettosetsports.com/wp-content/uploads/clemson-tigers-paw-logo.jpg
Duke Blue Devils,http://www.sportsapparelsuperstore.com/images/Duke%20Blue%20Devils.gif
Florida State Seminoles,http://www.collegeshade.com/images_products/florida_state_seminoles_hitch_cover_class_iii_4764big.jpg
Georgia Tech Yellow Jackets,http://collegesportsnation.com/iphone_wallpapers/georgia_tech_yellow_jackets/georgia_tech_gt_iphone_wallpaper.jpg
Maryland Terrapins,http://www.resnet.umd.edu/reslife/human_resources/images/terp.jpg
Miami (FL) Hurricanes,http://www.touthouse.com/image2/miamifl.gif
North Carolina State Wolfpack,http://jdsjsports.com/catalog/images/North%20Carolina%20State%20Wolfpack%20logo.gif
North Carolina Tar Heels,http://upload.wikimedia.org/wikipedia/commons/c/ca/North_Carolina_Tar_Heels_interlocking_blue_logo.png
Virginia Cavaliers,http://images.footballfanatics.com/productImages/_88000/FF_88422_s.jpg
Virginia Tech Hokies,http://collegefootballbelt.com/Logos/Virginia%20Tech%20logo.gif
Wake Forest Demon Deacons,http://images.cbssports.com/images/cbss/ui2/logos/collegebasketball/160x100/WF.gif
Baylor Bears,http://www.sport-insight.com/images/ncaaf/Baylor%20Bears.jpg
Colorado Buffaloes,http://hoopedia.nba.com/images/a/a0/University-of-Colorado-Boulder-sports-logo.png
Iowa State Cyclones,http://collegefootballbelt.com/Logos/Iowa%20State%202008.gif
Kansas Jayhawks,http://kuvsmu.com/images/150px-University_of_Kansas_Jayhawk_logo.svg.png
Kansas State Wildcats,http://www.mrpokerchips.com/2009/store/images/KansasStateWildcatsLogo.gif
Missouri Tigers,http://www.sport-insight.com/images/ncaaf/Missouri%20Tigers.jpg
Nebraska Cornhuskers,http://en.academic.ru/pictures/enwiki/85/University-of-Nebraska-Lincoln-logo.png
Oklahoma Sooners,http://cdn3.sbnation.com/imported_assets/230862/oklahoma_sooners_logo1.jpg
Oklahoma State Cowboys,http://logoshak.com/~asgsport/images/Oklahoma_State.gif
Texas A&M Aggies,http://www.sport-insight.com/images/ncaaf/Texas%20A&M%20Aggies.png
Texas Longhorns,http://upload.wikimedia.org/wikipedia/en/a/a8/Texas_Longhorn_logo.svg
Texas Tech Red Raiders,http://cyberbargins.net/texas-tech.jpg
Cincinnati Bearcats,http://jdsjsports.com/catalog/images/Cincinnati%20Bearcats%20logo.gif
Connecticut Huskies,http://www.sport-insight.com/images/ncaaf/Connecticut%20Huskies.png
