Stadium Name|Address|City|State|Team Name
Rice-Eccles Stadium||Salt Lake City|Utah|Utah Utes
Jonah Field at War Memorial Stadium||Laramie|Wyoming|Wyoming Cowboys
Arizona Stadium|540 N Vine Ave|Tucson|Arizona|Arizona Wildcats
Sun Devil Stadium|500 E Veterans Way|Tempe|Arizona|Arizona State Sun Devils
Memorial Stadium|210 Memorial Stadium|Berkeley|California|California Golden Bears
Autzen Stadium|Leo Harris Parkway|Eugene|Oregon|Oregon Ducks
Reser Stadium|105 Gils Coliseum|Corvallis|Oregon|Oregon State Beavers
Stanford Stadium|Galvez Street|Stanford|California|Stanford Cardinal
Rose Bowl|1001 Rose Bowl Drive|Pasadena|California|UCLA Bruins
Los Angeles Memorial Coliseum|3911 South Figueroa Street|Los Angeles|California|USC Trojans
Husky Stadium|3800 Montlake Blvd NE.|Seattle|Washington|Washington Huskies
Martin Stadium|Washington State University|Pullman |Washington|Washington State Cougars
Bryant-Denny Stadium|100 Bryant Dr|Tuscaloosa|Alabama|Alabama Crimson Tide
Razorback Stadium|Stadium Dr|Fayetteville|Arkansas|Arkansas Razorbacks
War Memorial Stadium|Markham and Fair Park|Little Rock|Arkansas|Arkansas Razorbacks
Jordan-Hare Stadium|2047 Eaves Memorial Coliseum|Auburn|Alabama|Auburn Tigers
Ben Hill Griffin Stadium (The Swamp)|University Ave & Gale Lemerand Dr|Gainesville|Florida|Florida Gators
Sanford Stadium|Sanford Dr|Athens|Georgia|Georgia Bulldogs
Commonwealth Stadium|1540 University Drive|Lexington|Kentucky|Kentucky Wildcats
Tiger Stadium|3601 S Broad St|Philadelphia|Pennsylvania|LSU Tigers
Vaught Hemingway Stadium|Stadium Dr at All-American Dr, University|Oxford |Mississippi|Mississippi Rebels
Scott Field (Davis Wade Stadium)|Lee Blvd Mississippi State|Starkville|Mississippi|Mississippi State Bulldogs
Williams-Brice Stadium|George Rogers Blvd|Columbia|South Carolina|South Carolina Gamecocks
Neyland Stadium|1600 Stadium Drive, Suite 202|Knoxville|Tennessee|Tennessee Volunteers
Vanderbilt Stadium|Natchez Trace & Jess Neely Dr|Nashville|Tennessee|Vanderbilt Commodores
Indian Stadium|2 U Street|Bath|Arkansas|Arkansas State Redwolves
Lockhart Stadium|1350 NW 55th Street|Fort Lauderdale|Flordia|Florida Atlantic Owls
FIU Stadium||Miami|Florida|FIU Golden Panthers
Cajun Stadium||Lafayette|Louisiana|Louisiana-Lafayette Ragin' Cajuns
Malone Stadium||Monroe|Louisiana|Louisiana-Monroe Warhawks
Johnny "Red" Floyd Stadium||Murfreesboro|Tennessee|Middle Tennessee Blue Raiders
Fouts Field||Denton|Texas|North Texas Mean Green
Movie Gallery Stadium||Troy|Alabama|Troy Trojans
Houchens Industries L.T. Smith Stadium||||Western Kentucky Hilltoppers
Bronco Stadium|1910 University Drive|Boise|Idaho|Boise State Broncos
Bulldog Stadium||Fresno|California|Fresno State Bulldogs
Aloha Stadium||Honolulu|Hawaii|Hawaii Warriors
Kibbie Dome||Moscow|Idaho|Idaho Vandals
Joe Aillet Stadium||Ruston|Louisiana|Louisiana Tech Bulldogs
Mackay Stadium||Reno|Nevada|Nevada Wolf Pack
Aggie Memorial Stadium|Stewart Street|Las Cruces|New Mexico|New Mexico State Aggies
Spartan Stadium||San Jose|California|San Jose State Spartans
Romney Stadium|9 E 10 North|Logan|Utah|Utah State Aggies
