0,09-11-2010,8:00 PM,New York,Milwaukee
0,09-11-2010,10:00 PM,Detroit,Portland
0,09-11-2010,10:30 PM,Minnesota,LA Lakers
0,10-11-2010,7:00 PM,Milwaukee,Atlanta
0,10-11-2010,7:00 PM,Utah,Orlando
0,10-11-2010,7:00 PM,Houston,Washington
0,10-11-2010,7:00 PM,Charlotte,Toronto
0,10-11-2010,7:30 PM,New Jersey,Cleveland
0,10-11-2010,7:30 PM,Golden State,New York
0,10-11-2010,8:00 PM,Philadelphia,Oklahoma City
0,10-11-2010,8:00 PM,Dallas,Memphis
0,10-11-2010,9:30 PM,LA Clippers,San Antonio
0,10-11-2010,10:00 PM,Minnesota,Sacramento
0,11-11-2010,8:00 PM,Golden State,Chicago
0,11-11-2010,8:00 PM,Boston,Miami
0,11-11-2010,10:30 PM,LA Lakers,Denver
0,12-11-2010,7:00 PM,Utah,Atlanta
0,12-11-2010,7:00 PM,Houston,Indiana
0,12-11-2010,7:00 PM,Toronto,Orlando
0,12-11-2010,7:00 PM,Charlotte,Washington
0,12-11-2010,8:00 PM,New York,Minnesota
0,12-11-2010,8:30 PM,Philadelphia,Dallas
0,12-11-2010,9:00 PM,Sacramento,Phoenix
0,12-11-2010,9:30 PM,Portland,Oklahoma City
0,12-11-2010,10:30 PM,Detroit,LA Clippers
0,13-11-2010,7:00 PM,Orlando,New Jersey
0,13-11-2010,7:00 PM,Utah,Charlotte
0,13-11-2010,7:30 PM,Indiana,Cleveland
0,13-11-2010,7:30 PM,Toronto,Miami
0,13-11-2010,8:00 PM,Portland,New Orleans
0,13-11-2010,8:00 PM,Washington,Chicago
0,13-11-2010,8:00 PM,Boston,Memphis
0,13-11-2010,8:30 PM,Golden State,Milwaukee
0,13-11-2010,8:30 PM,Philadelphia,San Antonio
0,14-11-2010,2:00 PM,Minnesota,Atlanta
0,14-11-2010,6:00 PM,Detroit,Sacramento
0,14-11-2010,7:00 PM,San Antonio,Oklahoma City
0,14-11-2010,7:30 PM,Houston,New York
0,14-11-2010,9:30 PM,Phoenix,LA Lakers
0,15-11-2010,7:00 PM,Memphis,Orlando
0,15-11-2010,7:00 PM,Minnesota,Charlotte
0,15-11-2010,8:30 PM,New Orleans,Dallas
0,15-11-2010,9:00 PM,Denver,Phoenix
0,15-11-2010,9:00 PM,Oklahoma City,Utah
0,15-11-2010,10:30 PM,Detroit,Golden State 
0,15-11-2010,10:30 PM,New Jersey,LA Clippers
0,16-11-2010,7:00 PM,Philadelphia,Cleveland
0,16-11-2010,7:00 PM,Atlanta,Indiana
0,16-11-2010,7:00 PM,Toronto,Washington
0,16-11-2010,8:00 PM,LA Lakers,Milwaukee
0,16-11-2010,8:00 PM,Portland,Memphis
0,16-11-2010,8:30 PM,Chicago,Houston
0,16-11-2010,9:00 PM,New York,Denver
0,17-11-2010,7:00 PM,Phoenix,Miami
0,17-11-2010,7:00 PM,Toronto,Philadelphia
0,17-11-2010,7:30 PM,Washington,Boston
0,17-11-2010,7:30 PM,LA Lakers,Detroit
0,17-11-2010,8:00 PM,Dallas,New Orleans
0,17-11-2010,8:00 PM,LA Clippers,Minnesota
0,17-11-2010,8:00 PM,Houston,Oklahoma City
0,17-11-2010,9:00 PM,New Jersey,Utah
0,17-11-2010,9:30 PM,Chicago,San Antonio
0,17-11-2010,10:00 PM,New York,Sacramento
0,18-11-2010,7:00 PM,LA Clippers,Indiana
0,18-11-2010,8:00 PM,Phoenix,Orlando
0,18-11-2010,10:30 PM,Denver,Portland
0,19-11-2010,7:00 PM,Oklahoma City,Boston
0,19-11-2010,7:00 PM,Milwaukee,Philadelphia
0,19-11-2010,7:00 PM,Memphis,Washington
0,19-11-2010,7:00 PM,Houston,Toronto
0,19-11-2010,7:30 PM,Charlotte,Miami
0,19-11-2010,8:00 PM,Cleveland,New Orleans
0,19-11-2010,8:00 PM,LA Lakers,Minnesota
0,19-11-2010,9:00 PM,San Antonio,Utah
0,19-11-2010,9:30 PM,Chicago,Dallas
0,19-11-2010,10:00 PM,New Jersey,Sacramento
0,19-11-2010,10:30 PM,New York,Golden State 
0,20-11-2010,7:00 PM,Orlando,Indiana
0,20-11-2010,7:00 PM,Phoenix,Charlotte
0,20-11-2010,8:00 PM,Dallas,Atlanta
0,20-11-2010,8:00 PM,Miami,Memphis
